feature,correlation
has_tags,0.10910652213403875
tags_length,0.10604852086514659
has_osv_summary,0.08449872653309774
has_auth_bypass,0.07592463343257862
has_sql_injection,0.06408497470527978
description_length,0.04639153498141016
osv_summary_length,0.043552526720939816
has_rce,0.04186994873023405
year,0.01770667771608931
years_since_2020,0.01770667771601729
has_buffer_overflow,0.010836451917375685
has_cve,0.0010891102373504586
has_privesc,-0.0013750746257228533
num_cves,-0.0019325406985565175
has_path_traversal,-0.006197948630343025
has_command_injection,-0.02438388908518431
has_xss,-0.026140663332785325
has_lfi_rfi,-0.03372687040037425
has_ssrf,-0.09664460105556753
has_xxe,-0.2012379020984891
has_cve_in_desc,
has_deserialization,
