platform,vulnerability_type,mean_sim,count
ruby,None/Unknown,0.6300762097040812,4
linux,Privilege Escalation,0.6290364316782029,7
php,Authentication Bypass,0.6270295158028603,8
php,Path Traversal,0.6177793292990533,13
java,XSS,0.6136319314440092,4
ruby,RCE,0.612359278731876,6
php,SQL Injection,0.6106718805545274,49
php,RCE,0.6075514476212865,137
linux,RCE,0.6049561330250331,7
php,SSRF,0.5980772733688354,5
multiple,None/Unknown,0.5970957341947054,19
php,CSRF,0.5963432987531027,6
php,None/Unknown,0.5942416787147522,49
php,XSS,0.5932803887709882,53
java,RCE,0.5921304126580557,4
multiple,XSS,0.5880279459736564,11
multiple,RCE,0.5807991950496348,15
multiple,Path Traversal,0.5788835419548882,3
php,LFI/RFI,0.5729954808186262,9
php,Command Injection,0.570535739533829,11
python,RCE,0.5535328640114694,7
java,None/Unknown,0.5464113106330236,6
