kev_cve,kev_description,non_kev_cve,non_kev_description,similarity,rank
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,N/A,Cacti 1.2.8 - Remote Code Execution,0.9837454557418823,1
CVE-2020-8644,PlaySMS - index.php Unauthenticated Template Injection Code Execution (Metasploit),N/A,PlaySMS 1.4.3 - Template Injection / Remote Code Execution,0.980618417263031,1
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,N/A,Cacti 1.2.8 - Remote Code Execution,0.9741965532302856,1
CVE-2022-31126,Roxy WI v6.1.0.0 - Unauthenticated Remote Code Execution (RCE),CVE-2022-31125,Roxy WI v6.1.0.0 - Improper Authentication Control,0.9434213042259216,1
CVE-2022-31161,Roxy WI v6.1.1.0 - Unauthenticated Remote Code Execution (RCE) via ssl_cert Upload,CVE-2022-31125,Roxy WI v6.1.0.0 - Improper Authentication Control,0.9295580387115479,1
CVE-2020-7247,OpenSMTPD - MAIL FROM Remote Code Execution (Metasploit),CVE-2020-8794,OpenSMTPD - OOB Read Local Privilege Escalation (Metasploit),0.9111656546592712,1
CVE-2023-32235,Ghost CMS 5.42.1 - Path Traversal,CVE-2023-40028,Ghost CMS 5.59.1 - Arbitrary File Read,0.8464472889900208,1
CVE-2021-34429,Eclipse Jetty 11.0.5 - Sensitive File Disclosure,CVE-2021-28164,Jetty 9.4.37.v20210219 - Information Disclosure,0.8391966819763184,1
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,CVE-2020-14295,Cacti 1.2.12 - 'filter' SQL Injection,0.8270341157913208,2
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,CVE-2020-14295,Cacti 1.2.12 - 'filter' SQL Injection,0.8235073089599609,2
CVE-2022-46169,Cacti v1.2.22 - Remote Command Execution (RCE),N/A,Cacti 1.2.8 - Remote Code Execution,0.8192297220230103,1
CVE-2022-46604,Responsive FileManager 9.9.5 - Remote Code Execution (RCE),N/A,Responsive FileManager 9.13.4 - 'path' Path Traversal,0.8191558122634888,1
CVE-2023-4220,Chamilo LMS 1.11.24 - Remote Code Execution (RCE),CVE-2021-31933,Chamilo LMS 1.11.14 - Remote Code Execution (Authenticated),0.7968516945838928,1
CVE-2023-7028,GitLab CE/EE < 16.7.2 - Password Reset,CVE-2022-1162,Gitlab 14.9 - Authentication Bypass,0.7881821990013123,1
CVE-2022-46169,Cacti v1.2.22 - Remote Command Execution (RCE),CVE-2020-14295,Cacti 1.2.12 - 'filter' SQL Injection,0.7840800285339355,2
CVE-2021-22205,GitLab 13.10.2 - Remote Code Execution (RCE) (Unauthenticated),CVE-2022-2884,GitLab v15.3 - Remote Code Execution (RCE) (Authenticated),0.7759353518486023,1
CVE-2021-22205,GitLab 13.10.2 - Remote Code Execution (RCE) (Unauthenticated),CVE-2022-1162,Gitlab 14.9 - Authentication Bypass,0.771824061870575,2
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),N/A,Wordpress Plugin wpDiscuz 7.0.4 - Unauthenticated Arbitrary File Upload (Metasploit),0.768942654132843,1
CVE-2022-24716,Icinga Web 2.10 - Arbitrary File Disclosure,CVE-2022-24715,Icinga Web 2.10 - Authenticated Remote Code Execution,0.7669521570205688,1
CVE-2023-22809,sudo 1.8.0 to 1.9.12p1 - Privilege Escalation,CVE-2025-32462,Sudo 1.9.17 Host Option - Elevation of Privilege,0.765102744102478,1
CVE-2022-46169,Cacti v1.2.22 - Remote Command Execution (RCE),N/A,Cacti v1.2.8 - Unauthenticated Remote Code Execution (Metasploit),0.7647144198417664,3
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),CVE-2021-21425,GravCMS 1.10.7 - Unauthenticated Arbitrary File Write (Metasploit),0.7613635063171387,2
CVE-2023-0297,PyLoad 0.5.0 - Pre-auth Remote Code Execution (RCE),N/A,Cmsimple 5.4 - Remote Code Execution (RCE) (Authenticated),0.7583132386207581,1
CVE-2019-9082;CVE-2018-20062,ThinkPHP - Multiple PHP Injection RCEs (Metasploit),N/A,PHPStudy - Backdoor Remote Code execution (Metasploit),0.7580296993255615,1
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),N/A,Centreon 19.10.5 - 'Pollers' Remote Command Execution (Metasploit),0.7564114332199097,1
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,CVE-2023-25440,CiviCRM 5.59.alpha1 - Stored XSS (Cross-Site Scripting),0.7541562914848328,1
CVE-2021-42013;CVE-2021-41773,Apache HTTP Server 2.4.50 - Remote Code Execution (RCE) (3),CVE-2023-2745,WordPress Core 6.2 - Directory Traversal,0.7522442936897278,1
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,N/A,Open-AudIT Professional 3.3.1 - Remote Code Execution,0.7509950399398804,3
CVE-2020-17519,Apache Flink 1.11.0 - Unauthenticated Arbitrary File Read (Metasploit),N/A,WordPress Plugin W3 Total Cache - Unauthenticated Arbitrary File Read (Metasploit),0.7492724061012268,1
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,CVE-2024-25641,Cacti 1.2.26 -  Remote Code Execution (RCE) (Authenticated),0.7479701638221741,3
CVE-2021-42013;CVE-2021-41773,Apache HTTP Server 2.4.50 - Remote Code Execution (RCE) (3),N/A,RiteCMS 2.2.1 - Remote Code Execution (Authenticated),0.7472659349441528,2
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),CVE-2021-42840,SuiteCRM 7.11.18 - Remote Code Execution (RCE) (Authenticated) (Metasploit),0.7447136640548706,3
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),N/A,Wago PFC200 - Authenticated Remote Code Execution (Metasploit),0.7445152401924133,4
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,N/A,Open-AudIT Professional 3.3.1 - Remote Code Execution,0.7444658279418945,4
CVE-2025-24813,Apache Tomcat 11.0.3 - Remote Code Execution,CVE-2022-29885,Apache Tomcat 10.1 - Denial Of Service,0.7430229187011719,1
CVE-2022-21661,WordPress Core 5.8.2 - 'WP_Query' SQL Injection,N/A,WP Fastest Cache 1.2.2 - Unauthenticated SQL Injection,0.7423714995384216,1
CVE-2020-7247,OpenSMTPD 6.4.0 < 6.6.1 - Local Privilege Escalation + Remote Code Execution,CVE-2020-8794,OpenSMTPD - OOB Read Local Privilege Escalation (Metasploit),0.7421148419380188,1
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),CVE-2020-11108,Pi-Hole - heisenbergCompensator Blocklist OS Command Execution (Metasploit),0.7416811585426331,2
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),N/A,PHPStudy - Backdoor Remote Code execution (Metasploit),0.7416409850120544,5
CVE-2024-27348,Apache HugeGraph Server 1.2.0 - Remote Code Execution (RCE),N/A,PHP < 8.3.8 - Remote Code Execution (Unauthenticated) (Windows),0.7409630417823792,1
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),CVE-2020-11108,Pi-Hole - heisenbergCompensator Blocklist OS Command Execution (Metasploit),0.738847553730011,6
CVE-2025-49113,Roundcube 1.6.10 - Remote Code Execution (RCE),N/A,WordPress Plugin Autoptimize 2.7.6 - Authenticated Arbitrary File Upload (Metasploit),0.7366379499435425,7
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,CVE-2024-25641,Cacti 1.2.26 -  Remote Code Execution (RCE) (Authenticated),0.7366355657577515,4
CVE-2018-12613,phpMyAdmin 4.8.1 - Remote Code Execution (RCE),CVE-2015-6830,PHPMyAdmin 3.0 - Bruteforce Login Bypass,0.736001193523407,1
CVE-2023-0297,PyLoad 0.5.0 - Pre-auth Remote Code Execution (RCE),N/A,Textpattern 4.8.3 - Remote code execution (Authenticated) (2),0.733420193195343,2
CVE-2021-42013;CVE-2021-41773,Apache HTTP Server 2.4.50 - Remote Code Execution (RCE) (3),N/A,Online Leave Management System 1.0 - Arbitrary File Upload to Shell (Unauthenticated),0.7312623262405396,3
CVE-2021-42013;CVE-2021-41773,Apache HTTP Server 2.4.50 - Remote Code Execution (RCE) (3),N/A,Judging Management System v1.0 - Remote Code Execution (RCE),0.7310402393341064,4
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),N/A,WordPress Plugin W3 Total Cache - Unauthenticated Arbitrary File Read (Metasploit),0.7290788292884827,3
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,N/A,Textpattern 4.8.3 - Remote code execution (Authenticated) (2),0.7290542721748352,5
CVE-2020-7961,Liferay Portal - Java Unmarshalling via JSONWS RCE (Metasploit),N/A,Centreon 19.10.5 - 'Pollers' Remote Command Execution (Metasploit),0.7283693552017212,1
CVE-2022-46169,Cacti v1.2.22 - Remote Command Execution (RCE),CVE-2024-25641,Cacti 1.2.26 -  Remote Code Execution (RCE) (Authenticated),0.7272974252700806,4
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,N/A,TextPattern CMS 4.8.3 - Remote Code Execution (Authenticated),0.7272663712501526,6
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,N/A,GetSimple CMS Custom JS 0.1 - Cross-Site Request Forgery,0.726722002029419,2
CVE-2018-16763,Fuel CMS 1.4.1 - Remote Code Execution (3),N/A,SOPlanning 1.52.01 (Simple Online Planning Tool) - Remote Code Execution (RCE) (Authenticated),0.7265967130661011,1
CVE-2020-8813,Cacti 1.2.8 - Unauthenticated Remote Code Execution,N/A,Textpattern 4.8.3 - Remote code execution (Authenticated) (2),0.7255229949951172,5
CVE-2019-9082;CVE-2018-20062,ThinkPHP - Multiple PHP Injection RCEs (Metasploit),N/A,Centreon 19.10.5 - 'Pollers' Remote Command Execution (Metasploit),0.7241154313087463,2
CVE-2020-7656;CVE-2019-11358,jQuery 3.3.1 - Prototype Pollution & XSS Exploit,CVE-2024-28623,RiteCMS 3.0.0 - Reflected Cross Site Scripting (XSS),0.7228125333786011,3
CVE-2018-12613,phpMyAdmin 4.8.1 - Remote Code Execution (RCE),CVE-2020-5504,phpMyAdmin 5.0.0 - SQL Injection,0.7225964069366455,2
CVE-2020-8813,Cacti 1.2.8 - Authenticated Remote Code Execution,N/A,Centreo 19.10.8 - 'DisplayServiceStatus' Remote Code Execution,0.721907377243042,7
CVE-2023-0297,PyLoad 0.5.0 - Pre-auth Remote Code Execution (RCE),N/A,SOPlanning 1.52.01 (Simple Online Planning Tool) - Remote Code Execution (RCE) (Authenticated),0.7212207317352295,3
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),N/A,Wago PFC200 - Authenticated Remote Code Execution (Metasploit),0.7201314568519592,4
CVE-2016-4437,Apache Shiro 1.2.4 - Cookie RememberME Deserial RCE (Metasploit),N/A,PHPStudy - Backdoor Remote Code execution (Metasploit),0.7200097441673279,5
